300,-64,0
301,-48,0
302,-32,0
303,-16,0
304,0,0
305,16,0
306,32,0
307,48,0
308,64,0
309,0,0
310,-64,-18
312,-48,-18
313,-32,-18
314,-16,-18
315,0,-18
316,16,-18
317,32,-18
318,48,-18
319,64,-18
320,0,-18
322,-64,-36
323,-48,-36
324,-32,-36
325,-16,-36
327,16,-36
328,32,-36
329,0,-36
330,48,-36
331,64,-36
332,0,-18
333,-64,-54
334,-48,-54
335,-32,-54
336,-16,-54
338,0,-54
339,16,-54
340,32,-54
341,48,-54
342,64,-54
343,0,-54
344,-64,18
345,-48,18
346,-32,18
347,-16,18
348,0,18
349,16,18
351,48,18
352,32,18
353,16,18
354,64,18
355,0,18
357,64,-18
360,-16,-54
361,-32,-54
362,64,-36
363,-64,36
365,-48,36
366,-32,36
368,-16,36
371,0,36
372,16,36
373,32,36
374,48,36
376,64,36
377,0,36
378,-64,54
379,-48,54
380,-32,54
381,-16,54
382,0,54
383,16,54
384,32,54
385,48,54
386,64,54
387,0,54
388,0,51
390,-48,51
391,48,51
392,-39,51
