,run,tot_num,n_trig,n_SAC,n_BAC,n_KVC,effSAC,effBAC,effKVC,x,y
run0445,445.0,25074.0,25074.0,24783.0,25035.0,25074.0,0.988394,0.998445,1.0,0.0,0.0
run0446,446.0,26553.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
run0447,447.0,25033.0,23483.0,23324.0,1421.0,6503.0,0.993229,0.0605119,0.276924,-64.0,0.0
run0448,448.0,25065.0,23749.0,23234.0,23698.0,23734.0,0.978315,0.997853,0.999368,-48.0,0.0
run0449,449.0,25040.0,23632.0,22865.0,23605.0,23629.0,0.967544,0.998857,0.999873,-32.0,0.0
run0450,450.0,25087.0,23656.0,22827.0,23639.0,23656.0,0.964956,0.999281,1.0,-16.0,0.0
run0451,451.0,25035.0,23565.0,22700.0,23545.0,23565.0,0.963293,0.999151,1.0,0.0,0.0
run0452,452.0,25071.0,23610.0,22776.0,23589.0,23608.0,0.964676,0.999111,0.999915,16.0,0.0
run0453,453.0,25054.0,23665.0,22851.0,23639.0,23665.0,0.965603,0.998901,1.0,32.0,0.0
run0454,454.0,25066.0,23571.0,23031.0,23516.0,23557.0,0.97709,0.997667,0.999406,48.0,0.0
run0455,455.0,25008.0,23510.0,23467.0,1314.0,10474.0,0.998171,0.0558911,0.445513,64.0,0.0
run0456,456.0,25975.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
run0457,457.0,25064.0,23578.0,23030.0,1413.0,6773.0,0.976758,0.0599287,0.287259,-64.0,-18.0
run0458,458.0,25019.0,25019.0,24469.0,24553.0,24911.0,0.978017,0.981374,0.995683,-48.0,-18.0
run0459,459.0,25034.0,23581.0,22908.0,23472.0,23469.0,0.97146,0.995378,0.99525,-32.0,-18.0
run0460,460.0,25033.0,23662.0,22907.0,23611.0,23478.0,0.968092,0.997845,0.992224,-16.0,-18.0
run0461,461.0,25058.0,23641.0,22892.0,23617.0,23363.0,0.968318,0.998985,0.988241,0.0,-18.0
run0462,462.0,25071.0,23592.0,22808.0,23546.0,23281.0,0.966768,0.99805,0.986818,16.0,-18.0
run0463,463.0,25067.0,23635.0,22827.0,23560.0,23181.0,0.965813,0.996827,0.980791,32.0,-18.0
run0464,464.0,25067.0,23649.0,22816.0,23489.0,23069.0,0.964777,0.993234,0.975475,48.0,-18.0
run0465,465.0,25067.0,23516.0,22450.0,1163.0,10418.0,0.954669,0.0494557,0.443018,64.0,-18.0
run0466,466.0,26016.0,0.0,0.0,0.0,0.0,,,,0.0,-18.0
run0467,467.0,25067.0,23626.0,22939.0,1321.0,7268.0,0.970922,0.055913,0.307627,-64.0,-36.0
run0468,468.0,25025.0,23568.0,23250.0,23215.0,22540.0,0.986507,0.985022,0.956382,-48.0,-36.0
run0469,469.0,25018.0,23482.0,23126.0,23274.0,22522.0,0.984839,0.991142,0.959118,-32.0,-36.0
run0470,470.0,25028.0,23681.0,23241.0,23565.0,22709.0,0.98142,0.995102,0.958954,-16.0,-36.0
run0471,471.0,25060.0,23603.0,23196.0,23530.0,22569.0,0.982756,0.996907,0.956192,0.0,-36.0
