,run,tot_num,n_trig,n_SAC,n_BAC,n_KVC,effSAC,effBAC,effKVC,x,y
run0472,472.0,25073.0,23690.0,23091.0,23593.0,22765.0,0.974715,0.995905,0.960954,16.0,-36.0
run0473,473.0,25057.0,23535.0,22956.0,23411.0,22572.0,0.975398,0.994731,0.959082,32.0,-36.0
run0474,474.0,25049.0,23798.0,22972.0,23470.0,22916.0,0.965291,0.986217,0.962938,48.0,-36.0
run0475,475.0,25058.0,23425.0,21906.0,1051.0,10063.0,0.935155,0.0448666,0.429584,64.0,-36.0
run0476,476.0,25505.0,0.0,0.0,0.0,0.0,,,,0.0,-36.0
run0477,477.0,25037.0,23463.0,22773.0,1427.0,9210.0,0.970592,0.0608192,0.392533,-64.0,-54.0
run0478,478.0,25034.0,23486.0,22004.0,14131.0,23445.0,0.936899,0.601678,0.998254,-48.0,-54.0
run0479,479.0,25063.0,23523.0,22693.0,15818.0,23505.0,0.964715,0.672448,0.999235,-32.0,-54.0
run0480,480.0,25030.0,23594.0,22537.0,16520.0,23582.0,0.9552,0.700178,0.999491,-16.0,-54.0
run0481,481.0,25048.0,23509.0,22061.0,16613.0,23496.0,0.938407,0.706666,0.999447,0.0,-54.0
run0482,482.0,25056.0,23544.0,22766.0,17185.0,23530.0,0.966955,0.72991,0.999405,16.0,-54.0
run0483,483.0,25070.0,23516.0,22721.0,17180.0,23496.0,0.966193,0.730566,0.99915,32.0,-54.0
run0484,484.0,25070.0,23582.0,22798.0,17182.0,23547.0,0.966754,0.728607,0.998516,48.0,-54.0
run0485,485.0,25019.0,23463.0,22112.0,1249.0,10628.0,0.94242,0.0532327,0.452969,64.0,-54.0
run0486,486.0,26050.0,0.0,0.0,0.0,0.0,,,,0.0,54.0
run0487,487.0,25061.0,23512.0,22910.0,1388.0,6604.0,0.974396,0.0590337,0.280878,-64.0,18.0
run0488,488.0,25066.0,23575.0,22885.0,23534.0,22340.0,0.970732,0.998261,0.947614,-48.0,18.0
run0489,489.0,25056.0,23568.0,22760.0,23547.0,22374.0,0.965716,0.999109,0.949338,-32.0,18.0
run0490,490.0,25077.0,23529.0,22749.0,23506.0,22386.0,0.966849,0.999022,0.951422,-16.0,18.0
run0491,491.0,25054.0,23633.0,22793.0,23614.0,22497.0,0.964456,0.999196,0.951932,0.0,18.0
run0492,492.0,25043.0,23608.0,22769.0,23586.0,22444.0,0.964461,0.999068,0.950695,16.0,18.0
run0493,493.0,25034.0,23646.0,22766.0,23630.0,22528.0,0.962784,0.999323,0.952719,32.0,18.0
run0494,494.0,25059.0,23621.0,22796.0,23573.0,22584.0,0.965073,0.997968,0.956098,48.0,18.0
run0495,495.0,25072.0,23551.0,22644.0,1261.0,10054.0,0.961488,0.0535434,0.426903,64.0,18.0
run0496,496.0,26037.0,0.0,0.0,0.0,0.0,,,,0.0,18.0
run0497,497.0,25061.0,23483.0,22528.0,1243.0,5174.0,0.959332,0.0529319,0.22033,-64.0,36.0
run0498,498.0,25039.0,23503.0,22843.0,23456.0,22104.0,0.971918,0.998,0.940476,-48.0,36.0
run0499,499.0,25046.0,23573.0,22929.0,23557.0,21950.0,0.972681,0.999321,0.93115,-32.0,36.0
run0500,500.0,25063.0,23793.0,23249.0,23777.0,22045.0,0.977136,0.999328,0.926533,-16.0,36.0
run0501,501.0,25048.0,23632.0,23210.0,23616.0,21642.0,0.982143,0.999323,0.915792,0.0,36.0
run0502,502.0,25043.0,23616.0,23060.0,23597.0,21405.0,0.976457,0.999195,0.906377,16.0,36.0
run0503,503.0,25036.0,23579.0,22947.0,23563.0,21251.0,0.973196,0.999321,0.901268,32.0,36.0
run0504,504.0,25022.0,23488.0,22663.0,23446.0,20910.0,0.964876,0.998212,0.890242,48.0,36.0
run0505,505.0,25063.0,23558.0,22177.0,1244.0,8587.0,0.941379,0.0528058,0.364505,64.0,36.0
run0506,506.0,26036.0,0.0,0.0,0.0,0.0,,,,0.0,36.0
run0507,507.0,25085.0,23637.0,22551.0,1073.0,1396.0,0.954055,0.0453949,0.0590599,-64.0,54.0
run0508,508.0,25088.0,23684.0,23539.0,18697.0,995.0,0.993878,0.789436,0.0420115,-48.0,54.0
run0509,509.0,25042.0,23590.0,23089.0,19644.0,1097.0,0.978762,0.832726,0.0465028,-32.0,54.0
run0510,510.0,25092.0,23596.0,22791.0,19073.0,1111.0,0.965884,0.808315,0.0470843,-16.0,54.0
run0511,511.0,25068.0,23700.0,23468.0,17749.0,1154.0,0.990211,0.748903,0.048692,0.0,54.0
run0512,512.0,25057.0,23686.0,22700.0,18124.0,1199.0,0.958372,0.765178,0.0506206,16.0,54.0
run0513,513.0,25048.0,23694.0,23376.0,18466.0,1160.0,0.986579,0.779353,0.0489575,32.0,54.0
run0514,514.0,25025.0,23660.0,23004.0,17372.0,1031.0,0.972274,0.734235,0.0435757,48.0,54.0
run0515,515.0,25055.0,23644.0,21566.0,1135.0,1446.0,0.912113,0.0480037,0.0611572,64.0,54.0
run0516,516.0,25997.0,0.0,0.0,0.0,0.0,,,,0.0,54.0
run0517,517.0,25072.0,23640.0,23371.0,22320.0,1183.0,0.988621,0.944162,0.0500423,-48.0,51.0
run0518,518.0,25049.0,23574.0,23463.0,21562.0,1282.0,0.995291,0.914652,0.0543819,0.0,51.0
run0519,519.0,25068.0,23602.0,23043.0,21631.0,1063.0,0.976316,0.91649,0.0450386,48.0,51.0
run0520,520.0,26032.0,0.0,0.0,0.0,0.0,,,,0.0,51.0
run0521,521.0,25045.0,23594.0,23164.0,23535.0,5181.0,0.981775,0.997499,0.21959,-48.0,45.0
run0522,522.0,25065.0,23558.0,23354.0,23515.0,4698.0,0.991341,0.998175,0.199423,0.0,45.0
run0523,523.0,25076.0,23578.0,22947.0,23508.0,3986.0,0.973238,0.997031,0.169056,48.0,45.0
run0524,524.0,26054.0,0.0,0.0,0.0,0.0,,,,0.0,45.0
run0525,525.0,25062.0,23578.0,23402.0,22690.0,23546.0,0.992535,0.962338,0.998643,-48.0,-45.0
run0526,526.0,25083.0,23581.0,23317.0,23384.0,23553.0,0.988805,0.991646,0.998813,0.0,-45.0
run0527,527.0,25095.0,23658.0,23038.0,22783.0,23504.0,0.973793,0.963015,0.993491,48.0,-45.0
run0528,528.0,26037.0,0.0,0.0,0.0,0.0,,,,0.0,-45.0
run0529,529.0,25049.0,23539.0,23459.0,20119.0,23509.0,0.996601,0.854709,0.998726,-48.0,-51.0
run0530,530.0,25088.0,23686.0,23338.0,22333.0,23683.0,0.985308,0.942878,0.999873,0.0,-51.0
run0531,531.0,25038.0,23580.0,22962.0,21960.0,23558.0,0.973791,0.931298,0.999067,48.0,-51.0
