i,a_1,a_2,b_1,b_2
1,0.03851376656403715,0.003149084674385641,-64.19715589937358,6.246225058030751
2,0.08485267378949074,0.002192348276843294,-139.08154322128198,4.434764182251914
3,0.06717651968069008,0.0037170860856180917,-112.85201505129012,7.444842030780957
4,0.05730541850486175,0.00542268330692019,-95.12699486355176,10.805817968594111
5,0.05099825112767327,0.0023061933207833415,-85.66021605345499,4.552619448618605
6,0.054049952821123945,0.0020459469424211575,-89.6297937592472,4.008820546228319
7,0.031390868662977016,0.0015413673877535381,-52.82982724207276,3.1321829049271575
8,0.14214596493296985,0.004895144416641418,-239.04401008663356,9.856545486569669
9,0.03911194079691149,0.006053522252914507,-61.96804569937934,12.901282191079112
